Index,Tweets
39,"RT @MrMickNL: I've just been to our local Albert Heijn supermarket, the beef tomatoes &amp; golden kiwis seem popular. 🇳🇱🇪🇺 It's not supply iss…"
40,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
41,"RT @tomstocktontees: So absolutely nothing to do with Brexit then 👇 

#BrexitReality 
#brexit 

https://t.co/RU3hmcQYuB"
42,"RT @watch_union: Liz #Truss, ehem. britishe PM, die den #Brexit pur zum Erfolg machen wollte, fordert jetzt eine ""ökonomische NATO um China…"
43,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
44,"RT @julianHjessop: FYI, two reasons for the current shortage of some out-of-season fruit &amp; veg:

1. bad weather in southern Europe and Nort…"
45,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
46,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
47,"@Nigel_Farage You are a treasonous, fascist, rascist and a far right wing shill.

#Brexit has failed. 
Leave as you promised."
48,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
49,@Guto_Harri  your comments on @TheNewsAgents are despicable - #NorthernIreland is not a small and irrelevant part o… https://t.co/ULR9Rbc4Jk
50,Dominic Grieve on the mistakes Britain made #Brexit #Politics #DominicGr... https://t.co/npvMJTFGPI via @YouTube
51,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
52,RT @mikeblast1980: @BillyNoMates010 @JeremyClarkson The other farmers on the show needed the help I know jezza didn't but still the fact he…
53,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
54,@BillyNoMates010 @JeremyClarkson The other farmers on the show needed the help I know jezza didn't but still the fa… https://t.co/T6cJK3AM7d
55,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
56,"RT @FXStreetNews: GBP/USD justifies Monday’s bearish Doji to drop towards 1.2500 ahead of UK/US PMI – by @anilpanchal7

https://t.co/RxMRIo…"
57,#ukpolitics #torybritain #GTTO #Brexit #BrexitDisaster #ToryShambles #projectreality #nastyparty #ToryCorruption… https://t.co/KE7nPGhOiO
58,"RT @holnicoteNH: What the heck is going on? This is in @Tesco in Minehead tonight, and the same last night! No tomatoes, no peppers, no cuc…"
59,"RT @stuartaken: @13sarahmurphy Perhaps, instead of trying to fix the unfixable, @RishiSunak should look again at the voters' attitudes to #…"
60,"RT @congobongoman: Supermarket in France today. When was last time you saw produce of this quantity/quality in UK shops.
#BrexitReality #Br…"
61,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
62,"RT @congobongoman: Supermarket in France today. When was last time you saw produce of this quantity/quality in UK shops.
#BrexitReality #Br…"
63,"RT @TobiFrenzen: 👉 How Leave won the #Brexit campaign...

Shocking excerpts from a series of interviews by Democracy Now, revealing in deta…"
64,"RT @MarkTodd_pol: Benefits of Tory Hard #Brexit so far:
1) 4% loss in GDP worth £130billion a year
2) £50 billion a year loss in tax revenu…"
65,"RT @Francgotbuffed: I am once again reminded of this 

#NIprotocol #thedup #brexit https://t.co/P3uRguJB4x"
66,"RT @Discorus: ""Post Brexit you'll see your food bills go down"" Yeah, because there's nothing on the shelves you fucking spanners. #Remoaner…"
67,"RT @TobiFrenzen: 👉 How Leave won the #Brexit campaign...

Shocking excerpts from a series of interviews by Democracy Now, revealing in deta…"
68,"RT @julianHjessop: FYI, two reasons for the current shortage of some out-of-season fruit &amp; veg:

1. bad weather in southern Europe and Nort…"
69,"RT @LizWebsterLD: An honest #Brexit Britain assessment from CNN! 

Fareed Zakaria gives us the truth on the fallout from Brexit and urges t…"
70,Des ministres conservateurs eurosceptiques ou Brexiters radicaux seraient prêts à démissionner si l'accord sur le P… https://t.co/FJn4L3OMg1
71,#ukpolitics #torybritain #GTTO #Brexit #BrexitDisaster #ToryShambles #projectreality #nastyparty #ToryCorruption… https://t.co/TUi8hbxH14
72,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
73,RT @WistfulCass: @MHartleyJones #Farmers should've thought harder before voting #Brexit. I was stunned so many rural areas voted to kick th…
74,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
75,RT @aw_dem: Report in the @guardian on how the NFU is warning that #Brexit is leading to the import of unsafe food at https://t.co/Ed0JMezx…
76,"RT @LeeSaunders72: @GOV2UK Because this country is a mess after 13yrs of Tory failure. #Brexit 

#GeneralElectionNow #ToriesOut229 
https:/…"
77,An outright Fascist being clapped by middle England in a church for a speech riddled with lying and ignorance. This… https://t.co/Yonxwvk3Jy
78,RT @FranceJamet: #Brexit : Bruxelles et Paris ouvrent les ports 🇨🇵 à la concurrence et sortent le chéquier non pas pour sauver nos pêcheurs…
79,"#brexit was a tory design to protect their own wealth and bankers.
you all got dupped."
80,Reversing #Brexit https://t.co/UYfwYlpmJQ via @YouTube
81,"RT @ron_dickinson: Baillie really is a piece of work

She supports #Trident, #Austerity, #Brexit &amp; blocking #ScottishDemocracy

Owes MSP co…"
82,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
83,RT @WistfulCass: @MHartleyJones #Farmers should've thought harder before voting #Brexit. I was stunned so many rural areas voted to kick th…
84,#ukpolitics #torybritain #GTTO #Brexit #BrexitDisaster #ToryShambles #projectreality #nastyparty #ToryCorruption… https://t.co/baZGATxSGe
85,@g_gosden @BecklesCake92 An outright Fascist being clapped by middle England in a church for a speech riddled with… https://t.co/79G29acYf4
86,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
87,RT @FranceJamet: #Brexit : Bruxelles et Paris ouvrent les ports 🇨🇵 à la concurrence et sortent le chéquier non pas pour sauver nos pêcheurs…
88,RT @DJmissGripper: #Brexit 😂😂 https://t.co/b247lA36GJ
89,"There is no such thing as a #brexit ""success."" All there is is leaving the EU. That's it - beginning, middle and end."
90,RT @Jacobbe79601492: Important piece of EU #brexit legislation reported by Steve. The timing of this EU framework on retaliation measures a…
91,"RT @WistfulCass: Boris Johnson on hind legs in HoC today. Why? To launch his comeback plan. His ornate rhetoric, can't hide insincerity on…"
92,"@MarinaPurkiss @ColinMUFC_ @JeremyVineOn5 Whenever I see the word #Brexit , the word #Brexshit reflexively pops int… https://t.co/xd5fM9ftwR"
93,"RT @WistfulCass: Boris Johnson on hind legs in HoC today. Why? To launch his comeback plan. His ornate rhetoric, can't hide insincerity on…"
94,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
95,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
96,"How to Get More Comments on Instagram in 2023

#forex #sns #kangtheconquerer #motivationmonday #cancerchronicles… https://t.co/ZO7ZS7AUxH"
97,RT @james08056172: Sat in airport I can’t stop laughing how stupid these people are 🤣 anyone remember the EU before we let Johnson &amp; Mogg l…
98,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
99,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
100,"RT @CourierBoyUK: The Cost of #Brexit
What we could’ve had

#ToriesOut229 #GeneralElectionNow https://t.co/e2GfPdIMUY"
101,"RT @congobongoman: Supermarket in France today. When was last time you saw produce of this quantity/quality in UK shops.
#BrexitReality #Br…"
102,@benhabib6 @RishiSunak @duponline @J_Donaldson_MP You helped to foist #Brexit on us!
103,Tory Party warning to the DUP. #Brexit https://t.co/OrJK68szlg
104,"RT @Gordonross45: The British public were lied to by Tory extremists prior to the #Brexit referendum, that’s not democracy. https://t.co/s1…"
105,"RT @Ncknwmn: As ⁦@BorisJohnson⁩ tries to undermine ⁦@RishiSunak⁩’s attempt to get a NI Brexit deal, here’s a toon of mine from the current…"
106,"RT @OrdinaryWalks: Is ""poor weather"" another name for #Brexit? @BBCNews must think we are all thick.  https://t.co/cgAI9XTUgB"
107,RT @Gravelax3: Why do the Tories @Conservatives have no agenda other than #Brexit? Yesterday’s Party! #ToriesOut228
108,"RT @holnicoteNH: What the heck is going on? This is in @Tesco in Minehead tonight, and the same last night! No tomatoes, no peppers, no cuc…"
109,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
110,"@natalieben Really sorry, bitbI’m not clear what you’re arguing here.

Is #Brexit bad because (allegedly) it’s resp… https://t.co/7nQeMBd3IE"
111,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
112,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
113,RT @KenAnderson01: This applies to all #Brexiters and everything about #Brexit.
114,"‘The Fresh Produce Journal reported that a “perfect storm” of cold temperatures, heavy rain, flooding, and cancelle… https://t.co/MIhVqStGWV"
115,"RT @Christo93199773: 2,433 days have elapsed since the #Brexit referendum.

We lose £1,000,000 of trade every hour as a direct result of Br…"
116,@DeborahMeaden This #Brexit shortage of food needs to be brought to the attention of @BBCNews @BBCPolitics @itvnews… https://t.co/lx3iO8lBuM
117,"RT @EmbajadaAbierta: 🇬🇧El proceso del #Brexit ha sido conducido exclusivamente desde 2010 por gobiernos conservadores: David Cameron, quien…"
118,"RT @WistfulCass: Boris Johnson on hind legs in HoC today. Why? To launch his comeback plan. His ornate rhetoric, can't hide insincerity on…"
119,"RT @TobiFrenzen: A functioning #democracy would have immediately declared the result of the 2016 #Brexit referendum null and void!

Upon di…"
120,"RT @MarkMobile68: Dear @BBCNews, in this article you've said that Julian Jessop is an 'independent economist', this is not accurate. He wor…"
121,"RT @LizWebsterLD: Sir Alan Duncan: “Brexit purists need to appreciate that Conservative Party is on edge of oblivion, any further division…"
122,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
123,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
124,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
125,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
126,#ukpolitics #torybritain #GTTO #Brexit #BrexitDisaster #ToryShambles #projectreality #nastyparty #ToryCorruption… https://t.co/mPZD7GZQhE
127,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
128,"RT @cookiris14: Next time when you want fresh produce
Just remember you had it all

Until

These Cons Fools came up with this brilliant ide…"
129,"RT @MarkTodd_pol: Benefits of Tory Hard #Brexit so far:
1) 4% loss in GDP worth £130billion a year
2) £50 billion a year loss in tax revenu…"
130,"GBP/USD Mengonfirmasi Doji Bearish Hari Senin yang Turun Menuju 1,2500 Jelan IMP Inggris/AS https://t.co/MBbyRETnvy… https://t.co/HhY5BLbvj5"
131,"RT @CourierBoyUK: The Cost of #Brexit
What we could’ve had

#ToriesOut229 #GeneralElectionNow https://t.co/e2GfPdIMUY"
132,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
133,"RT @Francgotbuffed: I am once again reminded of this 

#NIprotocol #thedup #brexit https://t.co/P3uRguJB4x"
134,"RT @julianHjessop: FYI, two reasons for the current shortage of some out-of-season fruit &amp; veg:

1. bad weather in southern Europe and Nort…"
135,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
136,"RT @WistfulCass: Boris Johnson on hind legs in HoC today. Why? To launch his comeback plan. His ornate rhetoric, can't hide insincerity on…"
137,"RT @FXStreetNews: GBP/USD justifies Monday’s bearish Doji to drop towards 1.2500 ahead of UK/US PMI – by @anilpanchal7

https://t.co/RxMRIo…"
138,"RT @OrdinaryWalks: Is ""poor weather"" another name for #Brexit? @BBCNews must think we are all thick.  https://t.co/cgAI9XTUgB"
139,GBP/USD justifies Monday’s bearish Doji to drop towards 1.2500 ahead of UK/US PMI – by @anilpanchal7… https://t.co/tZ2lFOHc6e
140,#ukpolitics #torybritain #GTTO #Brexit #BrexitDisaster #ToryShambles #projectreality #nastyparty #ToryCorruption… https://t.co/FsAs46ndsG
141,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
142,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
143,"RT @watch_union: Liz #Truss, ehem. britishe PM, die den #Brexit pur zum Erfolg machen wollte, fordert jetzt eine ""ökonomische NATO um China…"
144,"RT @FXStreetNews: GBP/JPY attempts to surpass 161.70, BoE to pause rate hike cycle to fade slowdown fears – by @Sagar_Dua24

https://t.co/J…"
145,@mrmarksteel Don't expect to have a rational exchange of views. You get more sense out of a #Brexit supporter.
146,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
147,RT @ActingMastery: Well done Oxford keep up the good work no 15 minute cities #15mincities #climatelockdown #ToriesDestroyingOurCountry #Ri…
148,@FreddyFlint10 @Simon4NDorset UK entered the EU as a single entity but Anti-#Brexit MPs left EU with a customs bord… https://t.co/plg00cesKT
149,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
150,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
151,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
152,"RT @OneMoreGoodMan: #Brexit has betrayed millions of ordinary people in the UK, economically, socially and in many other ways. Persuade me…"
153,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
154,Morrocco and Spain have left the #EU. Bloody #Brexit https://t.co/LUW161wGOx https://t.co/VEJFdWjuby
155,Even #France has voted to leave the #EU. I was #Brexit unaware... https://t.co/LUW161wGOx https://t.co/XQNTFtAucj
156,"I wonder why America, Canada and Mexico have decided to #Brexit. https://t.co/LUW161wGOx https://t.co/sK3aNOEBPu"
157,RT @REALLY91501063: @SimonClarkeMP @lewis_goodall Is that the same #LiarJohnson who #Lied when he said he had an Oven-Ready deal and said t…
158,RT @blowercartoons: Telegraph cartoon 20.2.23 #BAFTA2023 #BAFTA #brexit #RishiSunak https://t.co/l0EGZK8w4W
159,"RT @Jon_Danzig: 𝗪𝗘 𝗪𝗔𝗡𝗧 𝗢𝗨𝗥 𝗖𝗢𝗡𝗧𝗜𝗡𝗘𝗡𝗧 𝗕𝗔𝗖𝗞 - 𝟮-𝗺𝗶𝗻 𝘃𝗶𝗱𝗲𝗼

If the electorate agrees, we can undo #Brexit and get back together with our alli…"
160,"RT @sen_j59: #Brexit. The greatest act of self harm. Also, let’s not forget, it was inflicted on the people of Scotland against their will…"
161,"Tuesday's The Times: 

“Brexit deal may trigger
resignations, Sunak told”

#TomorrowsPapersToday  #thetimes… https://t.co/Neja2iZVH8"
162,"RT @LizWebsterLD: Things are about to get a lot worse for food supply in Britain. 

It’s tomatoes and cucumbers now. Potatoes likely will b…"
163,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
164,"RT @geoffh33: On the left #BrexitBritain 

On the right EU

Tell me again about ‘droughts’ in Europe affecting supplies to Britain.

#Boris…"
165,RT @MrJohnNicolson: US military study saw #Brexit as part of a Russian ‘Information Blitzkrieg’ on the West. “Brexit played a key role in r…
166,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
167,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
168,"A #Brexit haiku for tonight:

Broken promises,
Tory lies shroud dark motives,
Their greed exposed now. https://t.co/AVClwEV9i5"
169,"@tshep42 @NicholasTyrone 🚨 @tshep42 Life after #Brexit 

Britain will be isolated in the world 
We will lose 800K j… https://t.co/UOGo8ZhJJG"
170,"RT @TobiFrenzen: 👉 How Leave won the #Brexit campaign...

Shocking excerpts from a series of interviews by Democracy Now, revealing in deta…"
171,"🚨 @tshep42

Real knowledge is to know the extent of one's #EU ignorance. 

Just saying… 

#Brexit https://t.co/KZh0Le8El2"
172,"🚨 @tshep42 Life after #Brexit 

Britain will be isolated in the world 
We will lose 800K jobs 
#Unemployment will b… https://t.co/k9xW3TKXEE"
173,"RT @holnicoteNH: What the heck is going on? This is in @Tesco in Minehead tonight, and the same last night! No tomatoes, no peppers, no cuc…"
174,@SkyNews #BorisTheLiar who used #Brexit as a way of getting attention! Nope! Don't care what he has to say! He has destroyed this country!
175,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
176,RT @EmmaSengsta: Political #Carnival in #Duesseldorf today. #Rosenmontag #Brexit #indyref2 #Scotland https://t.co/7pV71i8fZa
177,@poorscousertom Bulldust. #BenefitsOfBrexit 😂😂😂😂 caused that. There are and never were any benefits to #Brexit ; it… https://t.co/zpiZFhVfJP
178,"RT @MarkTodd_pol: From Great Britain to Little England

#Brexit #BrexitBritain"
179,The answer is #Brexit. https://t.co/0ziM2qQK7s
180,@Hereweg93828168 @JimMitchin @NicholasTyrone What benefits will be delivered. There was no Leave plan. Leave voters… https://t.co/VjeGk6S5Dk
181,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
182,"RT @SHANEOMahony18: I see many people on here claiming that the current Labour Party are just Tories in red. Do you agree?

#Poll
#Labour…"
183,RT @Brunei100: Two most powerful men in the world - President Vladimir Putin of Russia 🇷🇺 &amp; President Xi Jinping of China 🇨🇳 making Russian…
184,"RT @ron_dickinson: Baillie really is a piece of work

She supports #Trident, #Austerity, #Brexit &amp; blocking #ScottishDemocracy

Owes MSP co…"
185,RT @Seachranaidhe: ECHR is major key element of the Good Friday Agreement/Belfast Agreement and cannot be renegotiated. The majority of cit…
186,"RT @LizWebsterLD: Things are about to get a lot worse for food supply in Britain. 

It’s tomatoes and cucumbers now. Potatoes likely will b…"
187,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
188,"RT @Gordonross45: The British public were lied to by Tory extremists prior to the #Brexit referendum, that’s not democracy. https://t.co/s1…"
189,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
190,"RT @Jon_Danzig: 𝗪𝗘 𝗪𝗔𝗡𝗧 𝗢𝗨𝗥 𝗖𝗢𝗡𝗧𝗜𝗡𝗘𝗡𝗧 𝗕𝗔𝗖𝗞 - 𝟮-𝗺𝗶𝗻 𝘃𝗶𝗱𝗲𝗼

If the electorate agrees, we can undo #Brexit and get back together with our alli…"
191,"@jonsopel The Coal and Steel Community (1952), the Rome Treaty (1957), the EEC, European Union (#EU) were NEVER cre… https://t.co/FhFA14wQEZ"
192,"@IainDale I’m not sure this article makes sense. 

If the issue is the lack of vision or a plan, how is Johnson (wh… https://t.co/AQU7MENOnP"
193,RT @aw_dem: Report in the @guardian on how the NFU is warning that #Brexit is leading to the import of unsafe food at https://t.co/Ed0JMezx…
194,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
195,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
196,"@Chris_Leigh_UK @JenniferCoogan1 @NicholasTyrone You are not free. U.K. business is now subject to more rules, red… https://t.co/edHKnu2vMV"
197,"RT @SaveBritishFood: We have been warning a #FoodCrisis was inevitable thanks to #Brexit 

That #UkraineRussiaWar #ClimateEmergency and #Co…"
198,"RT @riotgrandma72: Wow! Watching a @BBCNews report about suppression and prosecution for people who criticise the war in Ukraine. 
Proteste…"
199,RT @jemmaforte: Wow. Look how openly they describe the illegality of the referendum across the pond! Makes you realise quite how muted our…
200,RT @sonya_grattan: The UK is on a downward spiral because of #tories and #brexit.  It needs to get off quickly https://t.co/wYRMO6jgrb
201,RT @madameshawshank: « #CambridgeAnalytica—the company involved in social media ops to promote #Brexit and #Trump’s 2016 presidential run—w…
202,@markeverett1977 @GOV2UK @simunch1 #Brexit could eat yet another Prime Minister soon.
203,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
204,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
205,#Brexit was the 2nd best intelligence operation by #Russia after #Putin successfully intervened to get his useful i… https://t.co/VyHoHbZ0ba
206,"RT @thomasbrake: Another 'benefit' of #Brexit.

This time for the Beautiful game.

@euromove

https://t.co/DmCcRRze9N"
207,"RT @LizWebsterLD: World beating #Brexit Britain becomes world’s worst performing economy.

“The hole left by Brexit is very very large inde…"
208,"Boris Johnson’s Brexit interventions show he has no intention of quietly supporting Rishi Sunak

#Politics #Boris… https://t.co/GKLORA5c0D"
209,"RT @UKFilmTVCritic: @MittensOff 🤣 The people of #Stoke got huge benefits from the #EU and £Hundreds of Millions for development, then they…"
210,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
211,RT @vanmaneuro: If you want to find endless fresh food with  multiple choices of each product I highly recommend a trip to … the European m…
212,"@GiftCee Rash assumption. I not only voted #Leave, but also campaigned for it. Local Sainsbury, Tesco, Waitrose, &amp;… https://t.co/2Cweq7M0rf"
213,"RT @Archipet: Quick survey this morning! @Waitrose has no peppers, @sainsburys have no tomatoes and @Tesco has a few tomatoes and peppers!…"
214,"RT @CourierBoyUK: The Cost of #Brexit
What we could’ve had

#ToriesOut229 #GeneralElectionNow https://t.co/e2GfPdIMUY"
215,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
216,"RT @CourierBoyUK: The Cost of #Brexit
What we could’ve had

#ToriesOut229 #GeneralElectionNow https://t.co/e2GfPdIMUY"
217,"RT @TobiFrenzen: 👉 How Leave won the #Brexit campaign...

Shocking excerpts from a series of interviews by Democracy Now, revealing in deta…"
